abandon	abandon [ə'bændən] (動) 放棄；拋棄
abandoned	abandoned [ə'bændənd] (形) 被遺棄的；廢棄的
abase	abase [ə'bes] (動) 貶低；使丟臉
abate	abate [ə'bet] (動) 減弱；減輕
abbey	abbey ['æbi] (名) 修道院；大教堂
abbreviate	abbreviate [ə'briviˌet] (動) 縮寫；縮短
abbreviation	abbreviation [ə'brevɪˌeʃən] (名) 縮寫；縮略詞
abdomen	abdomen ['æbdəmən] (名) 腹部；腹腔
abduct	abduct [æb'd∧kt] (動) 綁架；誘拐
abduction	abduction [æb'dʌkʃən] (名) 綁架；誘拐
abet	abet [ə'bɛt] (動) 煽動；協助（犯罪）
abhor	abhor [æb'hɔr] (動) 憎惡；厭惡
abhorrent	abhorrent [æb'hɔrənt] (形) 令人厭惡的；可憎的
abide	abide [ə'baɪd] (動) 遵守；忍受
abiding	abiding [ə'baɪdɪŋ] (形) 持久的；永久的
ability	ability [ə'bɪlɪtɪ] (名) 能力；才能
abiotic	abiotic [e'baɪɑtɪk] (形) 非生物的；無生命環境的
abject	abject ['æbdʒɛkt] (形) 極度悲慘的；卑劣的
ablaze	ablaze [ə'blez] (形) 燃燒的；光輝燦爛的
able	able ['ebḷ] (形) 能夠的；有能力的
abnormal	abnormal [æb'nɔrməl] (形) 異常的；不正常的
aboard	aboard [ə'bord] (副) 在船（車、飛機）上　(介) 上（船、車、飛機）
abode	abode [ə'bod] (名) 住所；居所
abolish	abolish [ə'bɑlɪʃ] (動) 廢除；廢止
aboriginal	aboriginal [æb·ə·'rɪdʒ·ə·nl] (形) 原住民的；土著的　(名) 原住民；土著
aborigine	aborigine [æb·ə·'rɪdʒ·ə·ni] (名) 原住民；土著
abort	abort [ə'bɔrt] (動) 中止；放棄　(名) 中止行動
abortion	abortion [ə'bɔrʃən] (名) 墮胎；流產
abound	abound [ə'baʊnd] (動) 大量存在；充滿
about	about [ə'baʊt] (介) 關於；大約　(副) 到處；附近
above	above [ə'bʌv] (介) 在…上方；高於　(副) 在上面；以上
abrasion	abrasion [ə'breʒən] (名) 磨損；擦傷
abreast	abreast [ə'brɛst] (副) 並排地；跟上地　(形) 並列的；不落後的
abroad	abroad [ə'brɔd] (副) 在國外；到國外
abrupt	abrupt [ə'brʌpt] (形) 突然的；唐突的
abruptly	abruptly [ə'brʌptlɪ] (副) 突然地；唐突地
absence	absence ['æbsəns] (名) 缺席；不在
absent-minded	absent-minded ['æbsəntˌmaɪndɪd] (形) 心不在焉的；健忘的
absent	absent ['æbsənt] (形) 缺席的；不在的
