id,word,moe_level,kk_phonetics,definition_zh,example_sentence,sentence_zh,cefr_level,grammar_pattern,word_count,subject_type,source,reviewed,notes
1,abandon,4,ə'bændən,(動) 放棄；拋棄,The team abandoned the project due to a lack of funds.,該團隊因資金不足而放棄了這個計畫。,A2,simple,10,noun phrase,Claude AI,,
2,abandoned,,ə'bændənd,(形) 被遺棄的；廢棄的,The stray dog looked frightened because it had been abandoned by its owner.,那隻流浪狗看起來很害怕，因為牠被主人遺棄了。,A2,adv_clause,13,noun phrase,Claude AI,,
3,abase,,ə'bes,(動) 貶低；使丟臉,"Abasing himself before the crowd, the athlete apologized sincerely for cheating.",那位運動員在群眾面前貶低自己，誠心為作弊道歉。,B1,participial,11,noun phrase,Claude AI,,
4,abate,,ə'bet,(動) 減弱；減輕,"The heavy rain, which finally abated after midnight, let students sleep.",那場大雨在午夜後終於減弱，讓學生們得以入睡。,A2,adj_clause,12,noun phrase,Claude AI,,
5,abbey,,'æbi,(名) 修道院；大教堂,"If the tour group visits London, the abbey will be their first stop.",如果旅行團參觀倫敦，那座修道院將會是他們的第一站。,B1,conditional_1,13,noun phrase,Claude AI,,
6,abbreviate,6,ə'briviˌet,(動) 縮寫；縮短,Teachers often abbreviate long chapter titles on the board.,老師常在黑板上將冗長的章節標題縮寫。,A2,simple,9,noun,Claude AI,,
7,abbreviation,,əˌbrivɪ'eʃən,(名) 縮寫；縮略詞,"Students use the abbreviation ""govt"" to save time when taking notes.",學生使用縮寫「govt」來節省做筆記的時間。,B1,infinitive_purpose,12,noun phrase,Claude AI,,
8,abdomen,,'æbdəmən,(名) 腹部；腹腔,"The doctor pressed the abdomen, and the patient felt sharp pain.",醫生按壓腹部，病人感到劇烈疼痛。,A2,compound,11,noun phrase,Claude AI,,
9,abduct,,æb'dʌkt,(動) 綁架；誘拐,The police acted quickly after the child was abducted near the school.,那名孩童在學校附近遭到綁架後，警方迅速採取行動。,A2,adv_clause,13,noun,Claude AI,,
10,abduction,,ˌæb'dʌkʃən,(名) 綁架；誘拐,"Having survived the abduction, the student shared her story with police.",那名學生在綁架事件中倖存後，向警方講述了自己的遭遇。,B1-B2,participial_perf,11,noun phrase (the student),Claude AI,,
11,abet,,ə'bɛt,(動) 煽動；協助,The classmate who abetted the bully faced serious school punishment.,那位協助霸凌者的同學面臨嚴重的校規處分。,A2,adj_clause,10,noun phrase,Claude AI,,
12,abhor,,æb'hɔr,(動) 憎惡；厭惡,"Most students abhor cheating, but exam pressure can be overwhelming.",大多數學生憎惡作弊，但考試壓力有時會讓人難以承受。,A2,compound,11,noun phrase,Claude AI,,
13,abhorrent,,æb'hɔrənt,(形) 令人厭惡的；可憎的,"If the school found bullying abhorrent, stricter rules would protect every student.",如果學校認為霸凌行為令人厭惡，更嚴格的規定將保護每位學生。,B1,conditional_2,13,noun phrase,Claude AI,,
14,abide by,,,(片) 遵守；遵從,All students must abide by the school rules every day.,所有學生每天都必須遵守校規。,A2,simple,10,noun phrase,Claude AI,,
15,abide,6,ə'baɪd,(動) 遵守；忍受,"Abiding by the school rules, students avoided many unnecessary conflicts.",遵守校規，學生們避免了許多不必要的衝突。,B1,participial,10,noun,Claude AI,,
16,abiding,,ə'baɪdɪŋ,(形) 持久的；永久的,Students gain an abiding love for reading because great books change their lives.,學生們培養出對閱讀持久的熱愛，因為好書改變了他們的生命。,A2,adv_clause,13,noun,Claude AI,,
17,ability,1,ə'bɪlɪtɪ,(名) 能力；才能,Never has the ability to work well with others been more important than today.,與他人良好合作的能力從未像今天這樣重要。,B1-B2,inversion,14,noun phrase (gerund-based),Claude AI,,
18,abiotic,,e'baɪɑtɪk,(形) 非生物的；無生命環境的,Sunlight and water are abiotic factors that all living things depend on.,陽光和水是所有生物都依賴的非生物因子。,A2,adj_clause,12,noun_phrase,Claude AI,,
19,abject,,'æbdʒɛkt,(形) 極度悲慘的；卑劣的,The charity raised funds to rescue families from abject poverty.,該慈善機構募集資金，以拯救生活在赤貧中的家庭。,B1,infinitive_purpose,11,noun phrase,Claude AI,,
20,ablaze,,ə'blez,(形) 燃燒的；光輝燦爛的,"The old barn was ablaze, and thick smoke filled the night sky.",那座舊穀倉燃起大火，濃煙瀰漫了整個夜空。,A2,compound,13,noun phrase,Claude AI,,
21,able,1,'ebl,(形) 能夠的；有能力的,Most students are able to finish the test on time.,大多數學生能夠準時完成考試。,A2,simple,10,noun phrase,Claude AI,,
22,abnormal,5,æb'nɔrməl,(形) 異常的；不正常的,The doctor ran more tests because the blood results looked abnormal.,因為血液檢查結果看起來異常，醫生進行了更多檢驗。,A2,adv_clause,12,noun phrase,Claude AI,,
23,aboard,3,ə'bord,(副) 在船　(車、飛機) 上　(介) 上,"Stepping aboard the plane, the students felt excitement for their first overseas trip.",踏上飛機時，這些學生對他們的第一次海外旅行感到興奮。,B1,participial,13,noun phrase,Claude AI,,
