word,kk_phonetics,chinese_meaning,count_114
make,/mek/,製作；做,23
people,/ˈpipəl/,人們,22
work,/wɜrk/,工作；運作,17
tree,/tri/,樹,15
get,/ɡɛt/,得到；獲得,14
card,/kɑrd/,卡片,13
time,/taɪm/,時間；次,12
day,/de/,天；日,11
tell,/tɛl/,告訴；說,11
ask,/æsk/,詢問,10
builder,/ˈbɪldɚ/,建造者；製作者,10
electricity,/ɪˌlɛkˈtrɪsəti/,電力,10
origami,/ˌɔrɪˈɡɑmi/,摺紙,10
pay,/pe/,支付；薪資,10
start,/stɑrt/,開始,10
mom,/mɑm/,媽媽,9
use,/juz/,使用,9
year,/jɪr/,年,9
fight,/faɪt/,打架；爭鬥,8
give,/ɡɪv/,給予,8
want,/wɑnt/,想要,8
birthday,/ˈbɜrθˌde/,生日,7
family,/ˈfæməli/,家庭；家人,7
gift,/ɡɪft/,禮物,7
go,/ɡo/,去,7
last,/læst/,最後的；上一個的,7
life,/laɪf/,生活；生命,7
school,/skul/,學校,7
two,/tu/,兩個,7
vegetable,/ˈvɛdʒtəbəl/,蔬菜,7
buy,/baɪ/,購買,6
buyer,/ˈbaɪɚ/,買方,6
government,/ˈɡʌvɚnmənt/,政府,6
job,/dʒɑb/,工作；職業,6
know,/no/,知道；了解,6
picture,/ˈpɪktʃɚ/,圖片；照片,6
weekend,/ˈwikˌɛnd/,週末,6
come,/kʌm/,來；到來,5
eat,/it/,吃,5
ground,/ɡraʊnd/,地面；場地,5
home,/hom/,家,5
keep,/kip/,保持；維持,5
learn,/lɜrn/,學習,5
love,/lʌv/,愛；喜愛,5
move,/muv/,移動,5
save,/sev/,節省；拯救,5
say,/se/,說；說道,5
see,/si/,看見,5
show,/ʃo/,顯示；展示,5
study,/ˈstʌdi/,研究；學習,5
trip,/trɪp/,旅行,5
cabinet,/ˈkæbɪnɪt/,櫥櫃,4
change,/tʃendʒ/,改變,4
city,/ˈsɪti/,城市,4
cut,/kʌt/,砍伐；切,4
dark,/dɑrk/,黑暗的,4
decide,/dɪˈsaɪd/,決定,4
effect,/ɪˈfɛkt/,效應；影響,4
furniture,/ˈfɜrnɪtʃɚ/,家具,4
group,/ɡrup/,組別；團體,4
happy,/ˈhæpi/,快樂的,4
hour,/aʊr/,小時,4
kid,/kɪd/,小孩,4
listen,/ˈlɪsən/,聆聽,4
mean,/min/,意思；是……的意思,4
morning,/ˈmɔrnɪŋ/,早晨,4
part,/pɑrt/,部分；零件,4
plan,/plæn/,計畫,4
spend,/spɛnd/,花費,4
stop,/stɑp/,停止,4
strong,/strɔŋ/,強壯的；強烈的,4
summer,/ˈsʌmɚ/,夏天,4
take,/tek/,帶走；拿,4
try,/traɪ/,嘗試,4
visit,/ˈvɪzɪt/,拜訪,4
agree,/əˈɡri/,同意,3
become,/bɪˈkʌm/,成為；變得,3
believe,/bɪˈliv/,相信,3
best,/bɛst/,最好的,3
better,/ˈbɛtɚ/,較好的；更好,3
build,/bɪld/,建造；蓋,3
call,/kɔl/,稱呼；打電話,3
cost,/kɔst/,費用；花費,3
dress,/drɛs/,洋裝；衣服,3
exercise,/ˈɛksɚˌsaɪz/,運動；練習,3
experience,/ɪkˈspɪriəns/,經驗；體驗,3
farm,/fɑrm/,農場,3
feel,/fil/,感覺；感受,3
finish,/ˈfɪnɪʃ/,完成,3
fire,/faɪr/,火,3
follow,/ˈfɑlo/,跟隨；遵循,3
