word,kk_phonetics,chinese_meaning,count,years
school,/skul/,學校,26,"102,103,104,105,106,107,108,109,110,111,112,113,114"
food,/fud/,食物,25,"102,103,104,105,106,107,108,109,110,111,112,113,114"
people,/ˈpipəl/,人們,25,"102,103,104,105,106,107,108,109,110,111,112,113,114"
money,/ˈmʌni/,錢；金錢,24,"102,103,104,105,106,107,108,109,110,111,112,113,114"
work,/wɝk/,工作；努力,24,"102,103,104,105,106,107,108,109,110,111,112,113,114"
life,/laɪf/,生活；生命,23,"102,103,104,105,106,107,108,109,110,111,112,113,114"
time,/taɪm/,時間,23,"102,103,104,105,106,107,108,109,110,111,112,113,114"
read,/rid/,閱讀,22,"102,103,104,105,106,107,108,109,110,111,112,113,114"
know,/no/,知道,22,"102,103,104,105,106,107,108,109,110,111,112,113,114"
make,/mek/,製作；使得,22,"102,103,104,105,106,107,108,109,110,111,112,113,114"
friend,/frɛnd/,朋友,21,"102,103,104,105,106,107,108,109,110,111,112,113,114"
help,/hɛlp/,幫助,21,"102,103,104,105,106,107,108,109,110,111,112,113,114"
way,/we/,方式；道路,21,"102,103,104,105,106,107,108,109,110,111,112,113,114"
business,/ˈbɪznɪs/,生意；商業,20,"102,103,104,105,106,107,108,109,110,111,112,113,114"
happy,/ˈhæpi/,快樂的,20,"102,103,104,105,106,107,108,109,110,111,112,113,114"
year,/jɪr/,年；年度,20,"102,103,104,105,106,107,108,109,110,111,112,113,114"
place,/ples/,地方,20,"102,103,104,105,106,107,108,109,110,111,112,113,114"
think,/θɪŋk/,想；認為,20,"102,103,104,105,106,107,108,109,110,111,112,113,114"
book,/bʊk/,書,19,"102,103,104,105,106,107,108,109,110,111,112,113,114"
house,/haʊs/,房子,19,"102,103,104,105,106,107,108,109,110,111,112,113,114"
true,/tru/,真實的,19,"102,103,104,105,106,107,108,109,110,111,112,113,114"
party,/ˈpɑrti/,派對,19,"102,103,104,105,107,108,109,110,111,112,113,114"
sell,/sɛl/,賣；銷售,18,"102,103,104,105,106,107,108,109,110,111,112,113"
picture,/ˈpɪktʃɚ/,圖片；照片,18,"102,103,104,105,106,107,108,109,110,111,112,113"
change,/tʃendʒ/,改變,18,"102,103,104,105,106,107,108,109,110,111,112,113"
problem,/ˈprɑbləm/,問題,18,"102,103,104,105,106,107,108,109,110,111,112,113"
story,/ˈstori/,故事,18,"102,103,104,105,106,107,108,109,110,111,112,113,114"
